date,open,high,low,close,adj_close,volume
2010-01-04,8.892800,9.012000,8.863200,8.958400,8.772062,21580000
2010-01-05,8.964000,9.120000,8.886000,9.062400,8.873899,20027500
2010-01-06,9.004800,9.056800,8.726000,8.763200,8.580924,25195000
2010-01-07,8.786400,8.820000,8.564800,8.645200,8.465377,19217500
2010-01-08,8.524000,8.737200,8.485200,8.648400,8.468512,18915000
2010-01-11,8.712000,8.780000,8.490000,8.756400,8.574264,19612500
2010-01-12,8.642400,8.679600,8.410000,8.559200,8.381166,30557500
2010-01-13,8.578000,8.636800,8.310400,8.572000,8.393699,21025000
2010-01-14,8.518800,8.589200,8.240400,8.350800,8.177101,35062500
2010-01-15,8.328400,8.420000,8.222000,8.350800,8.177101,30272500
2010-01-19,8.342000,8.498000,8.311600,8.348000,8.174359,15635000
2010-01-20,8.261200,8.460000,8.123600,8.252400,8.080749,16840000
2010-01-21,8.235200,8.444400,8.221600,8.321600,8.148508,21075000
2010-01-22,8.314400,8.382400,8.112400,8.168000,7.998103,20940000
2010-01-25,8.216400,8.240400,7.995600,8.113600,7.944834,16327500
2010-01-26,8.096400,8.288400,8.033600,8.177600,8.007504,19185000
2010-01-27,8.146400,8.339600,8.127200,8.300800,8.128142,16920000
2010-01-28,8.324800,8.388000,8.055600,8.067200,7.899400,16805000
2010-01-29,8.158400,8.200000,7.738400,7.814000,7.651466,27242500
2010-02-01,7.860800,8.181200,7.708800,8.168000,7.998103,32575000
2010-02-02,8.210000,8.232800,8.069200,8.176800,8.006720,15195000
2010-02-03,8.079200,8.460800,8.079200,8.341200,8.167700,26187500
2010-02-04,8.292000,8.340400,7.988400,8.000400,7.833989,28435000
2010-02-05,8.040000,8.076400,7.734800,7.878400,7.714528,32177500
2010-02-08,7.978000,8.166400,7.941200,8.024800,7.857882,24155000
2010-02-09,8.140000,8.253200,8.129200,8.215200,8.044321,24797500
2010-02-10,8.232000,8.337600,8.145200,8.256000,8.084273,18342500
2010-02-11,8.158000,8.385600,8.124400,8.356000,8.182193,21455000
2010-02-12,8.260000,8.321200,8.150000,8.311200,8.138326,20762500
2010-02-16,8.350000,8.490000,8.350000,8.448400,8.272669,21167500
2010-02-17,8.531600,8.629200,8.374800,8.514800,8.337690,50290000
2010-02-18,9.099600,9.432000,9.040800,9.318000,9.124183,99132500
2010-02-19,9.300000,9.346400,9.186800,9.222800,9.030962,35152500
2010-02-22,9.281600,9.289200,9.049600,9.162800,8.972211,22015000
2010-02-23,9.178000,9.180000,8.944000,9.003600,8.816321,28797500
2010-02-24,9.040000,9.074800,8.842400,9.000800,8.813581,22462500
2010-02-25,8.880000,8.988000,8.740000,8.954800,8.768538,26722500
2010-02-26,8.960000,9.079600,8.842000,9.068400,8.879775,24690000
2010-03-01,9.150800,9.559600,9.105600,9.541600,9.343133,41447500
2010-03-02,9.641600,9.800000,9.556000,9.653600,9.452802,45917500
2010-03-03,9.660000,9.660000,9.400000,9.432800,9.236596,24090000
2010-03-04,9.320000,9.513200,9.180400,9.324800,9.130841,39867500
2010-03-05,9.463200,9.479600,9.256800,9.413600,9.217794,55917500
2010-03-08,9.440000,9.639200,9.348000,9.607200,9.407368,31720000
2010-03-09,9.566800,9.726000,9.454800,9.533200,9.334907,22455000
2010-03-10,9.526000,9.740800,9.520000,9.639600,9.439094,19820000
2010-03-11,9.639600,9.696400,9.504400,9.688400,9.486879,15612500
2010-03-12,9.703600,9.748000,9.506800,9.556400,9.357626,17950000
2010-03-15,9.573600,9.600000,9.374400,9.554400,9.355666,11090000
2010-03-16,9.560000,9.690000,9.496400,9.672400,9.471212,15440000
2010-03-17,9.711600,9.840400,9.586000,9.716800,9.514689,21470000
2010-03-18,9.758000,9.796000,9.614800,9.712400,9.510379,13210000
2010-03-19,9.784400,9.784400,9.538800,9.560400,9.361541,25397500
2010-03-22,9.533600,9.740400,9.466800,9.720800,9.518606,15082500
2010-03-23,9.765200,9.792000,9.547600,9.776400,9.573047,19825000
2010-03-24,9.700800,9.779600,9.662800,9.752000,9.549156,14897500
2010-03-25,9.864000,10.506800,9.860400,10.201200,9.989011,57615000
2010-03-26,10.198000,10.249600,10.000800,10.084400,9.874643,19582500
2010-03-29,10.284800,10.396800,10.175600,10.226800,10.014080,27207500
2010-03-30,10.220000,10.322400,10.124000,10.239600,10.026614,14692500
2010-03-31,10.220400,10.358400,10.120400,10.200000,9.987837,21540000
2010-04-01,10.317600,10.411200,10.152400,10.280000,10.066174,22147500
2010-04-05,10.319200,10.366400,10.206000,10.306000,10.091631,20285000
2010-04-06,10.206000,10.518400,10.206000,10.464000,10.246346,20202500
2010-04-07,10.519200,10.680800,10.320000,10.392400,10.176235,24737500
2010-04-08,10.363600,10.434400,10.260400,10.372400,10.156653,21487500
2010-04-09,10.417600,10.417600,10.252400,10.379600,10.163704,12325000
2010-04-12,10.410000,10.516800,10.379600,10.409200,10.192686,10332500
2010-04-13,10.173200,10.308400,10.045200,10.304000,10.089675,28967500
2010-04-14,10.241600,10.626000,10.241600,10.610400,10.389702,21955000
2010-04-15,10.562400,10.675200,10.502000,10.599200,10.378735,19097500
2010-04-16,10.522800,10.550400,10.111200,10.194400,9.982354,28705000
2010-04-19,10.146400,10.173600,9.768000,9.903200,9.697210,28937500
2010-04-20,10.044800,10.278000,9.961600,10.211200,9.998804,24550000
2010-04-21,10.139600,10.247600,10.006400,10.126000,9.915379,14647500
2010-04-22,10.065600,10.359200,9.945600,10.332400,10.117483,18350000
2010-04-23,10.371600,10.560000,10.203600,10.468000,10.250264,18557500
2010-04-26,10.540800,10.952800,10.512000,10.814400,10.589457,30375000
2010-04-27,10.740400,10.798000,10.493600,10.572000,10.352101,24982500
2010-04-28,10.622000,10.740400,10.340400,10.471200,10.253397,28387500
2010-04-29,10.528000,10.957200,10.528000,10.920000,10.692862,22572500
2010-04-30,10.953600,10.954800,10.460400,10.482000,10.263972,22567500
2010-05-03,10.581200,10.819600,10.580000,10.763200,10.539323,17187500
2010-05-04,10.600000,10.625200,10.251200,10.334800,10.119834,25460000
2010-05-05,10.059600,10.250400,9.640800,9.879200,9.673711,40407500
2010-05-06,9.740400,9.928400,8.107600,9.324000,9.130058,63805000
2010-05-07,9.278800,9.475200,8.976000,9.015600,8.828074,43292500
2010-05-10,9.670000,9.991600,9.606000,9.990000,9.782206,76162500
2010-05-11,8.486000,8.909600,8.355600,8.782800,8.600115,176927500
2010-05-12,8.870000,8.870000,8.538400,8.715200,8.533921,57735000
2010-05-13,8.625600,8.847200,8.474400,8.515600,8.338472,36815000
2010-05-14,8.354400,8.407600,8.160000,8.331200,8.157909,38140000
2010-05-17,8.262800,8.279600,7.840400,8.006000,7.839473,56262500
2010-05-18,8.069200,8.270800,7.704000,7.714400,7.553938,62322500
2010-05-19,7.648400,7.840000,7.368400,7.604400,7.446227,64815000
2010-05-20,7.304400,7.523200,7.164000,7.240000,7.089406,67370000
2010-05-21,7.085200,7.672000,7.040000,7.649600,7.490487,72197500
2010-05-24,7.751600,7.900000,7.707200,7.725600,7.564905,57502500
2010-05-25,7.461600,7.770000,7.405200,7.737600,7.576655,41472500
2010-05-26,7.880800,8.038800,7.670800,7.696800,7.536705,59670000
2010-05-27,7.914400,7.947200,7.655600,7.903600,7.739203,36565000
2010-05-28,7.906800,7.915200,7.620000,7.646400,7.487353,41265000
2010-06-01,7.644800,7.714400,7.395200,7.400400,7.246470,36852500
2010-06-02,7.424000,7.593200,7.354400,7.593200,7.435260,39877500
2010-06-03,7.580800,7.592800,7.287200,7.404400,7.250386,45410000
2010-06-04,7.214400,7.552000,7.105600,7.141600,6.993053,45685000
2010-06-07,7.184000,7.307200,7.051600,7.055600,6.908841,35782500
2010-06-08,7.106000,7.213600,6.932800,7.069200,6.922159,45150000
2010-06-09,7.134000,7.289600,6.987600,7.007600,6.861840,38085000
2010-06-10,7.156000,7.264400,7.062400,7.249600,7.098806,30975000
2010-06-11,7.158000,7.377600,7.135200,7.356400,7.203385,23032500
